"15804.2656402","100"
"19.4454364826","25"
"123.470825314","25"
"554.365261954","50"
"138.591315488","75"
"1108.73052391","75"
"19.4454364826","50"
"783.990871963","75"
"19.4454364826","50"
"698.456462866","75"
"195.997717991","50"
"184.997211356","25"
"1108.73052391","50"
"783.990871963","75"
"138.591315488","100"
"155.563491861","25"
"698.456462866","150"
"195.997717991","125"
"554.365261954","50"
"587.329535835","25"
"138.591315488","50"
"1108.73052391","75"
"19.4454364826","50"
"880.0","75"
"38.8908729653","25"
"19.4454364826","25"
"739.988845423","75"
"220.0","75"
"1108.73052391","75"
"880.0","50"
"19.4454364826","25"
"138.591315488","75"
"123.470825314","25"
"739.988845423","150"
"220.0","125"
"554.365261954","75"
"138.591315488","50"
"1108.73052391","75"
"1046.5022612","25"
"1108.73052391","25"
"19.4454364826","25"
"783.990871963","50"
"830.60939516","25"
"19.4454364826","25"
"622.253967444","25"
"698.456462866","75"
"195.997717991","50"
"155.563491861","25"
"1108.73052391","50"
"783.990871963","75"
"138.591315488","100"
"19.4454364826","25"
"698.456462866","125"
"195.997717991","150"
"622.253967444","50"
"698.456462866","75"
"739.988845423","75"
"19.4454364826","25"
"38.8908729653","25"
"739.988845423","125"
"783.990871963","100"
"19.4454364826","25"
"783.990871963","75"
"880.0","150"
"19.4454364826","50"
"1108.73052391","125"
"261.625565301","75"
"277.182630977","25"
"261.625565301","25"
